iter	RMSE
0	0.04385599517
1	0.04233464742
2	0.04102836294
3	0.03942829244
4	0.03801611682
5	0.03643884827
6	0.03497211823
7	0.03379433385
8	0.03241761876
9	0.03148226569
10	0.03066040037
11	0.0297964131
12	0.02878909186
13	0.0278762358
14	0.02711170337
15	0.02656941531
16	0.02594310422
17	0.02520379644
18	0.02429090926
19	0.02364696942
20	0.02304605727
21	0.02242593602
22	0.02200665722
23	0.02159313792
24	0.02104670547
25	0.0207126531
26	0.02018491708
27	0.01947624025
28	0.01905206978
29	0.01861690196
30	0.01816078298
31	0.01787602566
32	0.01736056989
33	0.0170160373
34	0.01649754158
35	0.01610596331
36	0.01574626906
37	0.0154062361
38	0.01498914623
39	0.01465066712
40	0.01437580315
41	0.0141126216
42	0.01373848649
43	0.01339262902
44	0.01310701887
45	0.01269096369
46	0.01235443365
47	0.01210061319
48	0.01179257747
49	0.01147429099
50	0.01115269893
51	0.01091170609
52	0.010563586
53	0.01018137709
54	0.009895519944
55	0.009588902623
56	0.009291348448
57	0.009066398139
58	0.008831199646
59	0.00855840764
60	0.00831076506
61	0.008074692066
62	0.007872947989
63	0.007682053244
64	0.007491035806
65	0.007259405815
66	0.007057970158
67	0.006875523805
68	0.006737584277
69	0.006574655735
70	0.006415138742
71	0.006273951439
72	0.006185695338
73	0.006058576633
74	0.00589586949
75	0.005774554643
76	0.00561250284
77	0.005531818275
78	0.005414408512
79	0.005283683639
80	0.005164019704
81	0.005054593461
82	0.004989561522
83	0.004843935533
84	0.004730212569
85	0.004616880245
86	0.004538484745
87	0.004438147296
88	0.004356954274
89	0.004284073129
90	0.004198962067
91	0.004121349444
92	0.004029990958
93	0.003961852628
94	0.003876206813
95	0.003816113237
96	0.003738927232
97	0.003664895578
98	0.003609563102
99	0.003533389655
