run_id,VolAgriExGB,VolAgriExViaChe,VolAgriExViaRott,VolAgriImGB,VolAgriImViaChe,VolAgriImViaRott,DocChkTimeAPImIR,PhyChkTimeAPImIR,VolAllPExGB,VolAllPExViaChe,VolAllPExViaRott,VolAllPImGB,VolAllPImViaChe,VolAllPImViaRott,NumCustomOfficerD,NumCustomOfficerR,NumDAFMOfficerD,NumDAFMOfficerR,PerPhyChkAgriImIR,Pct_A_OB_Red,PerSecurityChkAPIR,PerGreenTrucksAPImIR,PerPhyChkAPImIR,Pct_NA_OB_Green,Pct_NA_OB_Red,PerSecurityChkAgriIR,VolAgriExEULB,VolAgriImEULB,VolAllPExEULB,VolAllPImEULB,DToHeyVesselCap,DToHolyVesselCap,DToLivVesselCap,RToFishVesselCap,RToPemVesselCap,n_replications,seed
proposed_0004,2485798,200249,303920,3213312,411630,513795,25,38,6062414,314015,536332,5045763,288458,957159,4,2,41,18,0.1378079025239879,0.2548263403771337,0.1507329013123657,0.804977507297644,0.3566474625371757,0.70961353895974,0.1849740799750342,0.1424294815046602,59739,65687,395984,469493,122,178,39,42,78,5,42
proposed_0013,1808131,73537,225498,3300500,275610,422928,22,67,4795696,267435,954310,7351819,245555,1074775,3,2,41,12,0.2753916502402497,0.2182377331534292,0.183854477580161,0.6414616114915592,0.3397640566724473,0.8255889364724747,0.3707661907657696,0.2139867637283052,17517,39933,395022,349200,113,169,59,51,56,5,42
proposed_0012,2135310,246171,231592,3009410,238156,381256,22,76,5486612,673108,634633,6785590,361791,893651,4,2,41,13,0.397925374579152,0.1906214706350915,0.2966834151985875,0.6142122060016445,0.1955197353485379,0.8877627818533729,0.3443915329353648,0.2565920260052169,150451,86136,49969,184455,39,131,118,31,36,5,42
proposed_0000,1938861,79613,335055,2477064,389821,386812,27,59,4706079,747187,940176,7197344,721155,900697,4,2,33,14,0.3215741159372148,0.112323727991454,0.1036321087828728,0.678104563024575,0.35601083780271,0.7177107278765382,0.1724116184879989,0.1356883523643662,135291,180948,23756,547765,58,178,35,36,98,5,42
proposed_0010,1730610,253518,400373,3159743,306243,393094,23,40,4691730,683475,896197,5921300,287955,616628,4,2,34,13,0.1012022814200018,0.309456917682974,0.2133875590638773,0.8134674124790333,0.2084608235917598,0.7029877387136723,0.3984105246805075,0.248343282103947,127370,40571,349992,274778,91,84,84,42,37,5,42
proposed_0019,1960768,51526,393559,2822136,436967,511697,21,62,6476779,578558,739263,6746974,797484,888337,3,2,25,14,0.1819561574502629,0.2524502067438625,0.1188143926178791,0.7860447859884889,0.1089504310299092,0.8727194443268846,0.3866048284563433,0.1408794734162858,162249,5870,81081,378192,114,95,78,63,106,5,42
proposed_0020,2318603,143162,365398,2498450,427944,528095,29,52,6400423,716999,688150,7147119,398389,763834,4,2,38,12,0.1151559089116015,0.2468506019521624,0.2779312843350794,0.6724916726217257,0.2039435966221543,0.7588626165855217,0.2538196192900334,0.2487200730215303,164839,15375,94826,352141,91,164,68,50,109,5,42
proposed_0021,2026400,220092,263400,2781060,307085,549444,27,77,5241603,577020,787401,5869797,533518,802776,4,2,33,16,0.2783702826672593,0.1999282483031913,0.1790014480081113,0.770763615129203,0.1057102443452459,0.8226953848253931,0.2298917478603301,0.1046280189163892,196125,48473,317050,391780,34,206,74,43,65,5,42
proposed_0007,2518583,210743,373010,3014518,351120,343267,27,60,5070390,769098,887414,7235668,620553,953190,3,2,27,13,0.1518831809326234,0.133480110474768,0.1792333000118497,0.8791153852767452,0.2363372290895973,0.6053006342999736,0.3351472328127141,0.2756731467621603,144042,29221,274455,164129,107,162,73,52,107,5,42
proposed_0014,2177940,225303,343699,3110658,275300,305777,38,67,6025660,315733,907382,6151139,557509,652756,3,2,30,14,0.1380729926555539,0.2249828899207444,0.2029166103771061,0.8756469580592049,0.2802201756587927,0.7622569910834853,0.3362769508688018,0.120923019360955,194034,255622,138831,106573,33,151,84,51,61,5,42
