run_id,replication,seed,TT_OB_Agri,TT_IB_Agri,WT_IB_A_Dub,WT_IB_A_Ross,WT_IB_NA_Ross,TT_OB_LB,TT_IB_LB,TT_OB_DR,TT_IB_DR,Uti_Cus_D,Uti_DAFM_D,Uti_Cus_R,Uti_DAFM_R,WT_IB_NA_Dub
proposed_0002,1,1,13.714995450030447,17.115613657038335,0.0759670968204379,0.012250194501761904,0.2792582193553931,24.983358532895778,27.910495670475136,35.609135179444635,29.452124537736225,0.5183796296296226,0.18669152455338228,0.11215277777777631,0.046882233796295025,1.049308007401435
proposed_0003,1,1,13.656439080893048,17.166647261776983,0.061828172672477776,0.002280498253151699,0.36167266582291513,25.354173031563576,27.789781802096705,35.42927767449953,29.28932962834378,0.47850991089874556,0.15814244710960923,0.10531249999999925,0.039048032407407104,1.1537912658939997
proposed_0018,1,1,14.472062427338585,17.781013083409547,0.20056661294012473,0.01592255240176002,2.6804749925128872,25.236086203018168,28.684823035617747,35.14079296278607,29.61277327252487,0.9864431926306144,0.30434906198777945,0.47764726829955995,0.0762847222222208,313.16146831781896
proposed_0014,1,1,13.775296789410618,17.346701085324582,0.16044109378922738,0.011256503007505896,0.3618392225688567,25.12609240844915,27.917453945382356,34.80695557166269,29.60151852206571,0.4325405092592571,0.24190529655670204,0.08440972222222162,0.055099826388889016,1.272830408128659
proposed_0007,1,1,14.228463085199277,17.717456756484623,0.2407248638356819,0.00660539634306708,1.9649454654751541,25.226609754515415,27.71950062836341,34.66246895653939,29.502962371695368,0.9822200191072579,0.3216155512356848,0.35567129629629374,0.07587239583333297,246.93067248116282
proposed_0004,1,1,14.209783762807255,17.725894661849445,0.44558020888603006,0.058752819861697815,0.017653700381558002,25.036952668456316,28.05955593282564,36.26760776671259,29.570158514410906,0.1773195591210191,0.3571858750913352,0.04850694444444455,0.09095486111111163,0.1006542864062776
proposed_0009,1,1,14.069092291826125,17.51956521886057,0.1397600581711864,0.00794269900925089,1.2002321479947446,25.32858680975227,27.9787339984344,35.116771301036614,29.40287866199718,0.9814087802785225,0.23442839135074056,0.25601851851851465,0.05951533564814697,88.91814002719806
proposed_0010,1,1,14.161588903025025,17.68722215245679,0.26557642464771763,0.01437821755993041,0.8476672526761888,25.212601988024417,28.285862874319243,38.6947803251563,29.334916250790968,0.8742411019087373,0.26931455761317274,0.2017361111111134,0.06569444444444539,4.609532049233453
proposed_0012,1,1,14.430569426707166,17.97890163893105,0.5718009331809719,0.04004665171637269,0.32666473948247965,25.30228673767781,28.051938201212366,35.16865080479582,29.59092758565385,0.32204861111111766,0.41818869835774763,0.07575231481481631,0.10269097222222383,0.6507305483240112
proposed_0011,1,1,14.496889131708267,17.83210710978135,0.1528328443503923,0.006100861951214849,1.6648728667297323,25.31292526143325,27.7498849331395,35.37415509645345,29.700006400966885,0.9847295826781245,0.32287673320121946,0.31856481481481097,0.07814670138888798,168.23250410838764
