run_id,VolAgriExGB,VolAgriExViaChe,A_Ex_LB,VolAgriImGB,VolAgriImViaChe,A_Im_LB,DocChkTimeAPImIR,PhyChkTimeAPImIR,VolAllPExGB,VolAllPExViaChe,NA_Ex_LB,VolAllPImGB,VolAllPImViaChe,NA_Im_LB,NumCustomOfficerD,NumCustomOfficerR,NumDAFMOfficerD,NumDAFMOfficerR,PerPhyChkAgriImIR,Pct_A_OB_Red,PerSecurityChkAPIR,PerGreenTrucksAPImIR,PerPhyChkAPImIR,Pct_NA_OB_Green,Pct_NA_OB_Red,PerSecurityChkAgriIR,VolAgriExEULB,VolAgriImEULB,VolAllPExEULB,VolAllPImEULB,DToHeyVesselCap,DToHolyVesselCap,DToLivVesselCap,RToFishVesselCap,RToPemVesselCap,n_replications,seed
proposed_0002,2247806.0761482855,160109.67683846643,256395.14458057232,3206171.3000101275,238176.06641797745,461539.60230202164,18.13031601908881,71.26181241288776,6861227.241665622,532455.3183100161,650733.9926237562,7465245.448269915,273909.7923288163,763167.6823647151,4.89204890711619,2.4210571972951915,34.45705309874864,12.402096742954761,0.11468911294698378,0.1314939147688212,0.13751873638789827,0.870998361589216,0.39566205084847794,0.8517209192645141,0.3530765154287624,0.10353375619998245,64336.87775723253,138984.22141876354,496072.68162356695,490756.609507459,60.54505025792902,177.7885946013389,41.552803954285196,62.641959032403314,101.9884042419837,5,42
proposed_0003,2465228.153909888,155580.85722209068,259016.1605898671,2640935.360655876,320923.8152579015,542796.9243561858,19.239790008345572,45.265991561707395,6645793.078756596,425113.8312564163,548749.745714952,6954933.496136374,473681.96662061714,1187177.0543753956,3.602685265029436,2.003632925183099,29.981175036734424,15.756303059588106,0.17036054513238957,0.21956575201046222,0.11696231824715263,0.8162087840155055,0.23949203685809595,0.8970964992978818,0.2912766101435378,0.1906559833000327,29826.73784794595,39939.75911561751,302421.2705848488,100664.63395395654,79.4922832694453,145.30965420010102,38.841156348768386,45.714537982005396,40.61883960614411,5,42
proposed_0018,2238876.880156476,110521.79788750873,368911.49662623764,2389471.190746669,192078.8766599084,282507.7242503008,35.88451507989227,73.63588552038757,4795696.338688267,361906.08077638067,1000621.6067581993,7367231.975097161,694895.4138046526,863380.2518196146,4.269258234836526,1.5146828435600708,30.700846018429196,12.494301509074003,0.27709607526494473,0.39454178426276065,0.1268733826626123,0.6371609324592663,0.3321162048254879,0.7759335519044388,0.35508228965011657,0.23068784180189902,181401.21209689675,257451.47896971324,384551.07117318944,71143.39827041628,38.2311295223521,129.3950165414485,66.11125365121606,44.5433296011685,48.635686789980156,5,42
proposed_0014,1696059.041508492,124933.46753950357,382199.81930301234,3213311.86059983,239292.29548651964,536524.1263176899,18.963631189129593,40.402608279561505,5469535.27014537,339081.27212169237,616030.9511881843,6151139.148992362,579251.1315043166,709452.775378404,3.5561510915625147,1.8341300405015457,37.74263166276824,11.330457337317572,0.35583433888957383,0.10219433688790469,0.21904256808267436,0.6864684736463715,0.11460954169415538,0.6133947266922837,0.3556046550643508,0.2818129628845897,141121.99176617627,198566.25667477306,57432.22403100422,181775.6083054718,42.58740961309127,125.29317272980738,45.289674585656215,19.44202608123391,33.15345454320895,5,42
proposed_0007,1963421.9926564943,181565.73979488586,284770.1283076769,2605907.0048445533,288117.1270528949,431656.1030341065,38.385812230153746,65.35409308689934,4287204.809741766,307969.0887378191,956492.6986631331,7235667.853918192,310130.74298356235,767008.9928052095,4.881188819391037,2.3373823623450685,28.47228232536948,18.71598354437728,0.25438880263490493,0.2016566906828815,0.2997486740133529,0.6342312213550911,0.12544578169354964,0.6240147850938554,0.1174325445164342,0.2918418545689152,31846.28421754404,188088.9084719639,275414.8740113446,278456.5445739564,79.24408826001522,91.96784071429259,92.67109787771767,72.25469962521606,107.07603703897584,5,42
proposed_0004,2323430.621566123,226762.14027269595,325739.31157972704,3398510.6760980524,341808.93314603297,357062.15539470257,32.542204263545464,48.99642006325441,6327162.10671372,666363.6960894282,822454.762209319,5045762.607346158,248088.35313785775,1072373.3449828983,4.156034431615084,2.020275114740569,25.344987265576503,12.147544168986707,0.28656933201257373,0.3752013017655029,0.16838538770913208,0.8889633670648138,0.39337509372215207,0.6424787665706324,0.2947447150402823,0.22690805299035943,190930.5330184995,3868.114207425296,250456.9535830863,13692.654650941804,108.14328472278665,174.92632840068148,91.43788804498868,39.920220383296474,121.72867119213794,5,42
proposed_0009,2107926.111516587,77951.0182327141,228392.55971453243,2389406.325303396,291811.55424757226,306949.5656928478,37.22313248740023,65.58283055652157,6062414.265112426,396831.1145025585,1033005.6640160923,6173205.539752018,577279.159674499,1147040.9328283514,4.016705476893884,1.6158567243352684,34.085236357126696,13.582211324405748,0.10888218673858396,0.10744693953957177,0.18158839022625645,0.7320266098582106,0.34061793609571733,0.7301337081967779,0.26185823057850366,0.20817132738899025,4384.290432780897,140535.41683082804,11431.925773499583,302069.87401431584,56.86623869769525,67.1489617182199,113.62431399410167,66.59251945448152,121.91808283839283,5,42
proposed_0010,1866156.5297737848,148045.88812559587,380102.54334939836,2477063.734941666,354553.01966690086,316509.2375422684,40.26709032413473,38.03282647584802,6233794.297442244,753536.6841063478,682843.8996625971,5921300.242459027,325847.0888715179,877658.4096148874,3.808068781481532,1.5720591470729437,36.33303598832113,16.407487868745694,0.2204066672660164,0.37823813755120805,0.12736425560592526,0.7659311407233825,0.37741050016596667,0.7407980802571204,0.20153694498919783,0.15690817502236504,11484.271553184002,192697.39884973265,437075.3762218475,91825.92048371497,97.7427243513916,148.83397347878102,101.09359056726768,54.58540597450543,91.41015335374813,5,42
proposed_0012,2561447.435049682,97190.12093577319,399047.62965454505,3332449.0297866785,299587.25689845154,545741.4308387251,34.754898815487294,70.05975768482979,5070390.052563974,322934.0359283796,664355.2943066391,6785590.368869713,573310.1399025741,787335.1295679454,3.2384350523954892,1.555567916906878,35.51514543259702,14.158812713727373,0.30148384265675765,0.19226052172623587,0.29951600745258344,0.8909445350116709,0.11109121816035228,0.6542779956692604,0.24477175257618822,0.14701942337613189,11066.848671636551,55449.130547810615,74186.15811670515,268978.69541807164,94.0740287868926,140.80600834830526,64.34671363947199,51.83951249826866,38.77532651904815,5,42
proposed_0011,2077245.4386228595,135402.21100556428,218086.94836527985,2196490.6154244216,414383.09727728006,393885.11312647536,36.530601578505134,78.43899414560723,6852373.227359098,385463.795355007,801404.6190784078,7681002.401504487,780736.4169670035,724880.8253677485,3.948337458965236,2.3419932110394632,35.44114995631996,16.540547741130094,0.3686904644151091,0.23446219847706148,0.21497438592460671,0.796230722844707,0.3467749271852295,0.6452018921439721,0.35334366198615597,0.27939935975459906,36205.70922633084,161292.982705526,474033.201872363,419797.6277268655,49.02002027100323,79.09991191654464,55.706848298963706,25.608094406350084,89.98643892362992,5,42
