run_id,replication,seed,Uti_Cus_D,Uti_DAFM_D,Uti_Cus_R,Uti_DAFM_R
cand_20260906_090349_010,1,1,0.8591832023426917,0.0,0.1844675925925948,0.0
cand_20260906_090349_014,1,1,0.450017361111109,0.0,0.09099537037036984,0.0
cand_20260906_090349_004,1,1,0.190995370370371,0.6554981997374402,0.03140046296296305,0.1457773919753067
cand_20260906_090349_018,1,1,0.9867493631546701,0.3675993328564767,0.4887499999999898,0.1067708333333319
cand_20260906_090349_007,1,1,0.9822166445174301,0.4252372685185123,0.3530902777777753,0.06997685185185083
cand_20260906_090349_000,1,1,0.9806343595632117,0.4553444726067712,0.3194212962962982,0.0833371913580237
cand_20260906_090349_001,1,1,0.3642685054556849,0.6252488351775759,0.05905092592592524,0.1416848544973528
cand_20260906_090349_016,1,1,0.6110109122738927,0.4682417695998927,0.1159143518518525,0.1105200617283937
cand_20260906_090349_009,1,1,0.978949167360136,0.2555551500724617,0.2633796296296262,0.07428571428571297
cand_20260906_090349_012,1,1,0.4302083333333426,0.4503184278988532,0.07413194444444579,0.1309341931216915
