row,y_true,y_pred_oof,residual
0,0.03,0.04418828660024502,-0.014188286600245022
1,0.1,0.12376039059061579,-0.023760390590615785
2,0.07,0.07741204344909651,-0.007412043449096503
3,0.15,0.1537875703373299,-0.003787570337329904
4,0.02,0.016063835675980565,0.003936164324019435
5,0.08,0.06835725847650886,0.011642741523491137
6,0.03,0.025312742432034616,0.004687257567965383
7,0.17,0.21648247654570482,-0.04648247654570481
8,0.06,0.07928060419411272,-0.01928060419411272
9,0.08,0.14853014031855175,-0.06853014031855174
10,0.01,0.0032354158892543873,0.006764584110745613
11,0.26,0.24516043301913126,0.014839566980868746
12,0.1,0.1134014959046902,-0.013401495904690197
13,0.14,0.15132474624383102,-0.011324746243831008
14,0.03,0.03629963291760664,-0.006299632917606643
15,0.11,0.09707834787171495,0.012921652128285055
16,0.17,0.1644201009246088,0.00557989907539122
17,0.13,0.16062569357003906,-0.030625693570039053
18,0.08,0.11882382816629554,-0.03882382816629554
19,0.26,0.24258159798759904,0.01741840201240097
20,0.18,0.17594487329254307,0.004055126707456919
21,0.11,0.16389811751684877,-0.05389811751684877
22,0.12,0.16173940829432376,-0.041739408294323765
23,0.64,0.3431621953484131,0.29683780465158693
24,0.17,0.17440447884433136,-0.004404478844331344
25,0.21,0.26773076919532385,-0.057730769195323856
26,0.05,0.04100677086821966,0.008993229131780342
27,0.41,0.34231267875701227,0.06768732124298771
28,0.06,0.08439767284414496,-0.024397672844144958
29,0.16,0.18833774688325217,-0.028337746883252163
30,0.14,0.16631234832634414,-0.02631234832634413
31,0.24,0.22429195992581366,0.01570804007418633
32,0.14,0.18687596467439896,-0.046875964674398946
33,0.25,0.23964396442635652,0.01035603557364348
34,0.08,0.08181408083160256,-0.0018140808316025603
35,0.22,0.16759269829441478,0.05240730170558522
36,0.11,0.14113498124412396,-0.031134981244123963
37,0.51,0.29054837913587284,0.21945162086412717
38,0.04,0.04311728577486567,-0.003117285774865669
39,0.37,0.32052953821307373,0.04947046178692627
40,0.28,0.24750717778992073,0.03249282221007929
41,0.37,0.2861268212656264,0.08387317873437361
42,0.17,0.14651312775619252,0.023486872243807494
43,0.24,0.2403723315598664,-0.00037233155986640676
44,0.13,0.18601189574824703,-0.056011895748247026
45,0.1,0.1735388545310034,-0.0735388545310034
46,0.04,0.03879906113695934,0.0012009388630406584
47,0.27,0.23803444578384778,0.03196555421615224
48,0.1,0.10158069568271834,-0.0015806956827183333
49,0.08,0.10797073564892953,-0.02797073564892953
50,0.06,0.06803310040927124,-0.008033100409271243
51,0.16,0.17752469411045202,-0.017524694110452016
52,0.09,0.10502518349040425,-0.015025183490404256
53,0.09,0.13139462075185665,-0.04139462075185665
54,0.01,-0.001698065804357194,0.011698065804357194
55,0.16,0.1795891731499889,-0.019589173149988898
56,0.03,0.025209391825630603,0.004790608174369396
57,0.06,0.0330805246850195,0.0269194753149805
58,0.02,0.03666974246882136,-0.01666974246882136
59,0.11,0.1436847653968824,-0.03368476539688241
60,0.12,0.13552358537564457,-0.015523585375644577
61,0.09,0.08164097305256311,0.008359026947436884
62,0.05,0.06657912501435947,-0.016579125014359472
63,0.28,0.23344415493071152,0.046555845069288504
64,0.12,0.11722026440786198,0.0027797355921380107
65,0.25,0.25818310685021195,-0.008183106850211952
66,0.13,0.1508626841065733,-0.020862684106573298
67,0.2,0.2179501688898261,-0.01795016888982609
68,0.11,0.11200538057809309,-0.0020053805780930883
69,0.29,0.3225134913135305,-0.03251349131353054
70,0.2,0.2192535762858663,-0.019253576285866297
71,0.54,0.31763340437191334,0.2223665956280867
72,0.05,0.07902531446417113,-0.02902531446417113
73,0.15,0.20325329258154123,-0.05325329258154124
74,0.12,0.12993351133152606,-0.009933511331526063
75,0.47,0.32633652508094935,0.14366347491905063
76,0.03,0.04930314746953547,-0.019303147469535473
77,0.13,0.16304925480758306,-0.033049254807583056
