row,y_true,y_pred_oof,residual
0,0.01,0.012994686994465592,-0.0029946869944655913
1,0.07,0.0602489845741383,0.009751015425861709
2,0.03,0.019055752886249805,0.010944247113750194
3,0.07,0.08813604939196253,-0.01813604939196252
4,0.002,-0.0012622329082458278,0.003262232908245828
5,0.03,0.03554464964155928,-0.005544649641559284
6,0.01,0.01070253387530909,-0.0007025338753090891
7,0.07,0.08398699573930477,-0.013986995739304758
8,0.01,0.02606084667305443,-0.01606084667305443
9,0.04,0.05957346179043524,-0.01957346179043524
10,0.007,0.003223689785535694,0.0037763102144643063
11,0.12,0.09913773391957213,0.020862266080427863
12,0.03,0.03696830087196756,-0.006968300871967564
13,0.04,0.04634072241005415,-0.00634072241005415
14,0.01,0.01533415912405911,-0.00533415912405911
15,0.03,0.061604783948146113,-0.031604783948146115
16,0.11,0.08553354175752655,0.024466458242473454
17,0.07,0.07977763153462879,-0.00977763153462878
18,0.04,0.058093017390579094,-0.018093017390579093
19,0.12,0.11098915519470301,0.009010844805296986
20,0.1,0.08955373656589002,0.010446263434109981
21,0.07,0.10305200084374329,-0.03305200084374328
22,0.07,0.06718083908127816,0.0028191609187218497
23,0.23,0.18433772538869397,0.045662274611306036
24,0.07,0.07751058773099853,-0.007510587730998525
25,0.15,0.17266151728458623,-0.022661517284586236
26,0.01,0.018352047799865517,-0.008352047799865517
27,0.21,0.17228975653332346,0.037710243466676535
28,0.03,0.04844715195005132,-0.018447151950051324
29,0.09,0.09668589800516468,-0.006685898005164684
30,0.09,0.09803691801357968,-0.008036918013579683
31,0.1,0.07292830100393329,0.02707169899606672
32,0.07,0.0969186874312655,-0.026918687431265492
33,0.15,0.15727346030540912,-0.007273460305409124
34,0.03,0.04934751286276268,-0.019347512862762678
35,0.12,0.08807569886518965,0.031924301134810346
36,0.03,0.05075297325332501,-0.020752973253325008
37,0.2,0.1814156771032345,0.01858432289676551
38,0.02,0.015849861528989706,0.004150138471010294
39,0.22,0.15489962930512052,0.06510037069487948
40,0.1,0.11442568018463917,-0.014425680184639161
41,0.19,0.17240177365852288,0.01759822634147712
42,0.11,0.08148497881162105,0.028515021188378953
43,0.14,0.13368188947761173,0.006318110522388287
44,0.08,0.08865911370308609,-0.008659113703086085
45,0.06,0.0861344768259705,-0.026134476825970504
46,0.02,0.028716956398051073,-0.008716956398051073
47,0.09,0.12888848491627186,-0.038888484916271865
48,0.02,0.04826695461581278,-0.028266954615812776
49,0.05,0.06070332089756748,-0.010703320897567474
50,0.02,0.02502124378053712,-0.005021243780537119
51,0.05,0.06352670999288151,-0.013526709992881511
52,0.04,0.039635004074325436,0.0003649959256745647
53,0.06,0.04570496421507944,0.014295035784920557
54,0.007,0.009070916197510555,-0.0020709161975105547
55,0.08,0.0757911087294991,0.004208891270500906
56,0.004,0.016235016194783368,-0.012235016194783368
57,0.03,0.040224346393320634,-0.010224346393320635
58,0.002,0.003219153659436688,-0.0012191536594366881
59,0.05,0.07157782792629602,-0.02157782792629602
60,0.09,0.06014911478030262,0.02985088521969738
61,0.04,0.04129159881779443,-0.0012915988177944274
62,0.03,0.021504536131914928,0.00849546386808507
63,0.1,0.08554759909963647,0.014452400900363538
64,0.06,0.045669242908574964,0.014330757091425034
65,0.13,0.14601031748895976,-0.016010317488959758
66,0.07,0.06504364860527828,0.004956351394721725
67,0.08,0.09690139975029324,-0.01690139975029324
68,0.04,0.0351515847135936,0.0048484152864064
69,0.22,0.1881317987244758,0.0318682012755242
70,0.13,0.11072461194275131,0.019275388057248696
71,0.19,0.14788796491278589,0.04211203508721412
72,0.02,0.028303320815722427,-0.008303320815722427
73,0.08,0.12099080378123035,-0.04099080378123035
74,0.05,0.05739361109567094,-0.007393611095670938
75,0.24,0.15198589128833662,0.08801410871166337
76,0.01,0.028423432656515202,-0.0184234326565152
77,0.08,0.08367947326553135,-0.0036794732655313495
78,0.06,0.07029844564251855,-0.010298445642518556
79,0.14,0.1199728107296929,0.02002718927030711
80,0.12,0.09721425786637113,0.02278574213362887
81,0.03,0.043825164272365706,-0.013825164272365707
82,0.02,0.021812467919847624,-0.0018124679198476233
83,0.08,0.0763125469053717,0.0036874530946282985
84,0.02,0.02455366601922416,-0.004553666019224158
85,0.04,0.04086285641988083,-0.0008628564198808267
86,0.04,0.02977589634789586,0.01022410365210414
87,0.05,0.0735978901274273,-0.0235978901274273
88,0.005,0.005508592388220573,-0.0005085923882205733
89,0.02,0.04658373461322264,-0.02658373461322264
90,0.006,0.011537545744393182,-0.005537545744393182
91,0.12,0.08642338793232435,0.03357661206767565
92,0.004,0.0044750206180465685,-0.0004750206180465684
93,0.08,0.06417879855468556,0.015821201445314445
94,0.01,0.030564011078806852,-0.02056401107880685
95,0.03,0.03518229706699628,-0.005182297066996279
96,0.03,0.02293927430036486,0.007060725699635138
97,0.05,0.0633544144873293,-0.013354414487329297
98,0.009,0.00801777668391717,0.0009822233160828291
99,0.08,0.06702187443601039,0.012978125563989612
100,0.02,0.023193910640580483,-0.003193910640580482
101,0.04,0.052141915862162685,-0.012141915862162685
102,0.009,0.03965383160196654,-0.03065383160196654
103,0.14,0.1009502222828279,0.03904977771717211
104,0.006,0.005106386532041804,0.0008936134679581962
105,0.02,0.03665294750097148,-0.016652947500971477
106,0.002,0.011886702683520343,-0.009886702683520343
107,0.03,0.044899128419292084,-0.014899128419292085
108,0.02,0.016193118551058143,0.0038068814489418575
109,0.06,0.06137925146494415,-0.0013792514649441506
110,0.02,0.026876948591016088,-0.0068769485910160875
111,0.1,0.09112369765812631,0.008876302341873699
112,0.01,0.03101161100625676,-0.02101161100625676
113,0.07,0.11012194198215233,-0.040121941982152326
114,0.05,0.06000784799057791,-0.010007847990577905
115,0.14,0.10595611356666332,0.034043886433336695
116,0.06,0.06852989211892718,-0.008529892118927185
117,0.05,0.06549984304834491,-0.01549984304834491
118,0.04,0.04670922610593259,-0.006709226105932588
119,0.24,0.16596539061370022,0.07403460938629977
120,0.04,0.05442244697050139,-0.014422446970501386
121,0.17,0.18746168677255198,-0.01746168677255197
122,0.1,0.09996803117114657,3.196882885343755e-05
123,0.32,0.19270573847227457,0.12729426152772544
124,0.05,0.07458932506630139,-0.02458932506630139
125,0.04,0.03855416296280383,0.0014458370371961682
126,0.08,0.07654894987621735,0.003451050123782648
127,0.09,0.0876282021025292,0.002371797897470801
128,0.01,0.02212146528542839,-0.012121465285428389
