row,y_true,y_pred_oof,residual
0,30.7,31.027378295448848,-0.3273782954488489
1,30.8,30.996388357044182,-0.19638835704418156
2,31.3,31.0601106515766,0.23988934842340015
3,31.2,31.129714249270204,0.07028575072979493
4,30.7,31.00778613247683,-0.3077861324768314
5,31.0,31.007000475960858,-0.007000475960857955
6,31.5,31.02867006414546,0.4713299358545413
7,31.4,31.074517325044994,0.3254826749550048
8,30.9,30.97018406581299,-0.07018406581299175
9,30.7,31.02164566246174,-0.32164566246174076
10,31.3,31.0536402967444,0.24635970325559953
11,31.3,31.026393593088248,0.2736064069117532
12,31.0,31.020968777097234,-0.020968777097234437
13,31.0,31.002366387626363,-0.00236638762636332
14,31.0,31.020998619219597,-0.020998619219597003
15,31.0,31.058089321641404,-0.05808932164140401
16,31.0,31.005860939277863,-0.005860939277862798
17,31.0,31.008729057615827,-0.008729057615827429
18,31.0,31.014084766957005,-0.014084766957005002
19,32.0,31.016971365835325,0.9830286341646755
20,31.0,31.01611588099047,-0.016115880990469122
21,31.0,31.0281154247947,-0.02811542479469864
22,31.0,31.07370386117981,-0.07370386117980843
23,31.0,31.05170243064677,-0.05170243064677038
24,31.0,31.016178011871123,-0.016178011871122777
25,31.0,31.02179849897656,-0.021798498976558278
26,31.0,31.018094566535147,-0.018094566535147294
27,31.0,31.016586454876652,-0.016586454876652112
28,31.0,31.018961109072634,-0.018961109072634486
29,31.0,31.01747024655586,-0.017470246555859603
30,31.0,31.034556098216186,-0.03455609821618566
31,31.0,31.011595308859032,-0.011595308859032372
32,30.0,31.018806332087127,-1.0188063320871272
33,31.0,31.007980384422865,-0.007980384422864972
34,31.0,31.117459220904344,-0.11745922090434391
35,31.0,31.048832695343634,-0.048832695343634214
36,31.0,31.012210776572417,-0.012210776572416648
37,31.0,31.014569235805254,-0.014569235805254266
38,31.0,31.14906115462309,-0.14906115462309089
39,31.0,31.02611210762602,-0.026112107626019565
40,31.0,31.01084457042066,-0.010844570420658783
41,31.0,31.019910873383584,-0.01991087338358355
42,31.0,31.033607740436253,-0.0336077404362527
43,31.0,31.043228396621885,-0.04322839662188471
44,31.0,31.019598570817795,-0.019598570817795036
45,31.0,31.01078837787974,-0.010788377879741518
46,31.0,31.020820261856052,-0.020820261856052014
47,31.0,31.0568970497102,-0.056897049710201486
48,31.0,31.019426682796073,-0.01942668279607318
49,31.0,30.990661647573404,0.009338352426595975
50,31.0,31.020030390684223,-0.020030390684222965
51,31.0,31.033463490421404,-0.033463490421404174
52,31.0,31.028798329198274,-0.028798329198274075
53,31.0,31.004093754645126,-0.004093754645126069
54,31.0,31.02009053522813,-0.020090535228131756
55,31.0,31.01276657123619,-0.012766571236191737
56,31.0,31.01059440222206,-0.010594402222061206
57,31.0,31.020392662298164,-0.020392662298164055
58,31.0,31.020819608007738,-0.020819608007737855
59,31.0,31.01484705004012,-0.01484705004012099
60,31.0,31.06866348187844,-0.0686634818784384
61,31.0,31.01939318231585,-0.019393182315848634
62,31.0,31.042370628219636,-0.04237062821963633
63,31.0,31.019121933150238,-0.019121933150238135
64,31.0,31.01315232058991,-0.013152320589910005
65,31.0,31.034147920579535,-0.034147920579535196
66,31.0,31.029912462747063,-0.029912462747063273
67,31.0,31.02346179513671,-0.023461795136711316
68,31.0,30.97433407921341,0.025665920786590135
69,31.0,31.011424317301007,-0.011424317301006681
70,31.0,31.019377524612636,-0.01937752461263642
71,31.0,31.003986015170923,-0.0039860151709234515
72,31.0,30.981753972700798,0.01824602729920244
73,31.0,31.116627288928235,-0.11662728892823537
74,31.0,31.09820769323035,-0.09820769323034995
75,31.0,31.018570480048837,-0.018570480048836657
76,31.0,30.99803607447561,0.0019639255243895093
77,31.0,31.03966015917149,-0.039660159171489795
78,31.0,31.02562703132051,-0.025627031320510696
79,31.0,31.023884267084526,-0.023884267084525845
80,31.0,31.01046477036182,-0.010464770361821252
81,31.0,31.014986962877362,-0.014986962877362231
82,31.0,31.046374000577238,-0.04637400057723795
83,31.0,31.018984991733454,-0.018984991733454137
84,31.0,31.010019489350114,-0.010019489350113986
85,31.0,31.03198924237197,-0.03198924237197076
86,31.0,31.044598253402818,-0.044598253402817534
87,31.0,31.00780382094591,-0.007803820945909479
88,31.0,31.01914145427603,-0.01914145427603131
89,31.0,31.074757870254473,-0.07475787025447289
90,32.0,31.018106162398915,0.9818938376010848
91,31.0,31.019084201743656,-0.019084201743655882
92,31.0,31.00285766335653,-0.002857663356529372
