,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.0,0.001,0.01173803442713417,0.005554435915715472,0.17500023153566868,0.001,0.9,0.003006549783533874,0.001,0.9,0.027440326828760853,0.001,0.6071654307000907,0.9,0.896649900457806,0.9,0.9,0.005094675625664458,0.9,0.9,0.9
1,0.001,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.001,0.9,0.001,0.001,0.17500023153566868,0.4526935980539687,0.2266859066781186,0.001,0.001,0.04231831704153832,0.005554435915715472,0.001
2,0.01173803442713417,0.001,1.0,0.9,0.9,0.9,0.74501490992915,0.9,0.001,0.5658082667869271,0.001,0.9,0.9,0.001,0.001,0.001,0.31372767319548467,0.9,0.001,0.001,0.8828647835289056
3,0.005554435915715472,0.001,0.9,1.0,0.9,0.9,0.6209488879665497,0.9,0.001,0.43714890960439867,0.001,0.9,0.9,0.001,0.001,0.001,0.20483570021048303,0.9,0.001,0.001,0.75879750713558
4,0.17500023153566868,0.001,0.9,0.9,1.0,0.6071654307000907,0.9,0.9,0.001,0.9,0.001,0.75879750713558,0.9,0.001,0.001,0.001,0.8828647835289052,0.9,0.003592435287408935,0.029556605087038057,0.9
5,0.001,0.001,0.9,0.9,0.6071654307000907,1.0,0.014914165717239802,0.9,0.001,0.005094675625664458,0.001,0.9,0.17500023153566868,0.001,0.001,0.001,0.0010873039011836116,0.9,0.001,0.001,0.03180864596266819
6,0.9,0.001,0.74501490992915,0.6209488879665497,0.9,0.014914165717239802,1.0,0.5244557512959404,0.001,0.9,0.001,0.034205556237278056,0.9,0.1120075445205776,0.027440326828760853,0.08278294889786353,0.9,0.6071654307000913,0.3576170935322659,0.7312289457763824,0.9
7,0.003006549783533874,0.001,0.9,0.9,0.9,0.9,0.5244557512959404,1.0,0.001,0.3272616696554629,0.001,0.9,0.9,0.001,0.001,0.001,0.1401399846467145,0.9,0.001,0.001,0.6623050824688401
8,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.9,0.001,0.001,0.23752796678047783,0.5382391764518515,0.30045167816413176,0.001,0.001,0.06380037254529136,0.009193266458022431,0.001
9,0.9,0.001,0.5658082667869271,0.43714890960439867,0.9,0.005094675625664458,0.9,0.3272616696554629,0.001,1.0,0.001,0.012720313726852672,0.9,0.2266859066781186,0.06821478390569113,0.17500023153566868,0.9,0.42132005945567974,0.552023102823266,0.9,0.9
10,0.027440326828760853,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.001,1.0,0.001,0.001,0.827722170433135,0.9,0.896649900457806,0.001,0.001,0.5106663448599187,0.16636958911602817,0.001
11,0.001,0.001,0.9,0.9,0.75879750713558,0.9,0.034205556237278056,0.9,0.001,0.012720313726852672,0.001,1.0,0.3004516781641329,0.001,0.001,0.001,0.003006549783533874,0.9,0.001,0.001,0.06821478390569113
12,0.6071654307000907,0.001,0.9,0.9,0.9,0.17500023153566868,0.9,0.9,0.001,0.9,0.001,0.3004516781641329,1.0,0.007788902629894401,0.0011965020699473694,0.005094675625664458,0.9,0.9,0.04533177359282414,0.21561316943823616,0.9
13,0.9,0.17500023153566868,0.001,0.001,0.001,0.001,0.1120075445205776,0.001,0.23752796678047783,0.2266859066781186,0.827722170433135,0.001,0.007788902629894401,1.0,0.9,0.9,0.4678680580707433,0.001,0.9,0.9,0.05961199903042946
14,0.896649900457806,0.4526935980539687,0.001,0.001,0.001,0.001,0.027440326828760853,0.001,0.5382391764518515,0.06821478390569113,0.9,0.001,0.0011965020699473694,0.9,1.0,0.9,0.18438008560414254,0.001,0.9,0.9,0.012720313726852672
15,0.9,0.2266859066781186,0.001,0.001,0.001,0.001,0.08278294889786353,0.001,0.30045167816413176,0.17500023153566868,0.896649900457806,0.001,0.005094675625664458,0.9,0.9,1.0,0.3892928509654706,0.001,0.9,0.9,0.04231831704153832
16,0.9,0.001,0.31372767319548467,0.20483570021048303,0.8828647835289052,0.0010873039011836116,0.9,0.1401399846467145,0.001,0.9,0.001,0.003006549783533874,0.9,0.4678680580707433,0.18438008560414254,0.3892928509654706,1.0,0.19440899346029894,0.7863692226898085,0.9,0.9
17,0.005094675625664458,0.001,0.9,0.9,0.9,0.9,0.6071654307000913,0.9,0.001,0.42132005945567974,0.001,0.9,0.9,0.001,0.001,0.001,0.19440899346029894,1.0,0.001,0.001,0.7450149099291496
18,0.9,0.04231831704153832,0.001,0.001,0.003592435287408935,0.001,0.3576170935322659,0.001,0.06380037254529136,0.552023102823266,0.5106663448599187,0.001,0.04533177359282414,0.9,0.9,0.9,0.7863692226898085,0.001,1.0,0.9,0.2266859066781186
19,0.9,0.005554435915715472,0.001,0.001,0.029556605087038057,0.001,0.7312289457763824,0.001,0.009193266458022431,0.9,0.16636958911602817,0.001,0.21561316943823616,0.9,0.9,0.9,0.9,0.001,0.9,1.0,0.5933790852363676
20,0.9,0.001,0.8828647835289056,0.75879750713558,0.9,0.03180864596266819,0.9,0.6623050824688401,0.001,0.9,0.001,0.06821478390569113,0.9,0.05961199903042946,0.012720313726852672,0.04231831704153832,0.9,0.7450149099291496,0.2266859066781186,0.5933790852363676,1.0
