,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.0,0.001,0.24942174318887422,0.8139375941709242,0.9,0.9,0.9,0.5520231028232667,0.001,0.9,0.001,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.001,0.009193266458022431,0.9
1,0.001,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.001,0.9,0.001,0.001,0.9,0.896649900457806,0.9,0.001,0.001,0.9,0.05961199903042946,0.001
2,0.24942174318887422,0.001,1.0,0.9,0.24942174318887422,0.9,0.014914165717239691,0.9,0.0071656200039270646,0.9,0.3272616696554629,0.9,0.1321333668947976,0.001,0.5795934862546577,0.001,0.9,0.9,0.0318086459626683,0.9,0.7863692226898091
3,0.8139375941709242,0.001,0.9,1.0,0.8139375941709242,0.9,0.20483570021048303,0.9,0.001,0.9,0.03180864596266819,0.9,0.648520614037212,0.001,0.09877809358046497,0.001,0.9,0.9,0.0010873039011836116,0.9,0.9
4,0.9,0.001,0.24942174318887422,0.8139375941709242,1.0,0.9,0.9,0.5520231028232667,0.001,0.9,0.001,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.001,0.009193266458022431,0.9
5,0.9,0.001,0.9,0.9,0.9,1.0,0.8139375941709243,0.9,0.001,0.9,0.001,0.9,0.9,0.001,0.003592435287408935,0.001,0.9,0.9,0.001,0.3892928509654717,0.9
6,0.9,0.001,0.014914165717239691,0.20483570021048303,0.9,0.8139375941709243,1.0,0.06821478390569113,0.001,0.648520614037212,0.001,0.896649900457805,0.9,0.001,0.001,0.001,0.7174441377359659,0.3004516781641322,0.001,0.001,0.9
7,0.5520231028232667,0.001,0.9,0.9,0.5520231028232667,0.9,0.06821478390569113,1.0,0.0010873039011836116,0.9,0.1120075445205766,0.9,0.3733448117626752,0.001,0.2743748268028008,0.001,0.9,0.9,0.006049308150209098,0.9,0.9
8,0.001,0.9,0.0071656200039270646,0.001,0.001,0.001,0.001,0.0010873039011836116,1.0,0.001,0.9,0.001,0.001,0.6347324996234924,0.9,0.9,0.001,0.001,0.9,0.21561316943823727,0.001
9,0.9,0.001,0.9,0.9,0.9,0.9,0.648520614037212,0.9,0.001,1.0,0.002292897773392477,0.9,0.9,0.001,0.00997445814819653,0.001,0.9,0.9,0.001,0.5658082667869271,0.9
10,0.001,0.9,0.3272616696554629,0.03180864596266819,0.001,0.001,0.001,0.1120075445205766,0.9,0.002292897773392477,1.0,0.001,0.001,0.03675529692283719,0.9,0.74501490992915,0.001443932688687144,0.017441916910667543,0.9,0.9,0.001
11,0.9,0.001,0.9,0.9,0.9,0.9,0.896649900457805,0.9,0.001,0.9,0.001,1.0,0.9,0.001,0.0020941532027417553,0.001,0.9,0.9,0.001,0.3004516781641329,0.9
12,0.9,0.001,0.1321333668947976,0.648520614037212,0.9,0.9,0.9,0.3733448117626752,0.001,0.9,0.001,0.9,1.0,0.001,0.001,0.001,0.9,0.75879750713558,0.001,0.0032861291166508266,0.9
13,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.6347324996234924,0.001,0.03675529692283719,0.001,0.001,1.0,0.00997445814819653,0.9,0.001,0.001,0.3576170935322659,0.001,0.001
14,0.001,0.896649900457806,0.5795934862546577,0.09877809358046497,0.001,0.003592435287408935,0.001,0.2743748268028008,0.9,0.00997445814819653,0.9,0.0020941532027417553,0.001,0.00997445814819653,1.0,0.5106663448599176,0.006587466559878741,0.05961199903042946,0.9,0.9,0.001
15,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.001,0.74501490992915,0.001,0.001,0.9,0.5106663448599176,1.0,0.001,0.001,0.9,0.0071656200039270646,0.001
16,0.9,0.001,0.9,0.9,0.9,0.9,0.7174441377359659,0.9,0.001,0.9,0.001443932688687144,0.9,0.9,0.001,0.006587466559878741,0.001,1.0,0.9,0.001,0.49685251628997307,0.9
17,0.9,0.001,0.9,0.9,0.9,0.9,0.3004516781641322,0.9,0.001,0.9,0.017441916910667543,0.9,0.75879750713558,0.001,0.05961199903042946,0.001,0.9,1.0,0.001,0.896649900457806,0.9
18,0.001,0.9,0.0318086459626683,0.0010873039011836116,0.001,0.001,0.001,0.006049308150209098,0.9,0.001,0.9,0.001,0.001,0.3576170935322659,0.9,0.9,0.001,0.001,1.0,0.4826044711245212,0.001
19,0.009193266458022431,0.05961199903042946,0.9,0.9,0.009193266458022431,0.3892928509654717,0.001,0.9,0.21561316943823727,0.5658082667869271,0.9,0.3004516781641329,0.0032861291166508266,0.001,0.9,0.0071656200039270646,0.49685251628997307,0.896649900457806,0.4826044711245212,1.0,0.1321333668948268
20,0.9,0.001,0.7863692226898091,0.9,0.9,0.9,0.9,0.9,0.001,0.9,0.001,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.001,0.1321333668948268,1.0
