,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.0,0.9,0.9,0.9,0.0015873078311412492,0.9,0.9,0.9,0.9,0.9,0.731228945776383,0.9,0.48260447112452065,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
1,0.9,1.0,0.9,0.3272616696554629,0.001,0.3004516781641329,0.5382391764518526,0.9,0.9,0.9,0.06821478390568836,0.3892928509654706,0.018840693154266286,0.001,0.07771820517942629,0.010823350124739672,0.14861297630752757,0.2873107556951974,0.9,0.3272616696554629,0.5106663448599176
2,0.9,0.9,1.0,0.49685251628997296,0.001,0.4678680580707433,0.6898728895026416,0.9,0.9,0.9,0.1321333668947976,0.552023102823266,0.042318317041538545,0.001,0.03675529692283708,0.00428554634154843,0.26172479325665055,0.4526935980539687,0.9,0.49685251628997296,0.6623050824688401
3,0.9,0.3272616696554629,0.49685251628997296,1.0,0.40532715257835905,0.9,0.9,0.9,0.4213200594556793,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
4,0.0015873078311412492,0.001,0.001,0.40532715257835905,1.0,0.43714890960439867,0.21561316943823716,0.021935634957075734,0.001,0.001,0.8139375941709243,0.3422205384410336,0.9,0.001,0.001,0.001,0.6347324996234921,0.4526935980539686,0.001,0.40532715257835905,0.2375279667804775
5,0.9,0.3004516781641329,0.4678680580707433,0.9,0.43714890960439867,1.0,0.9,0.9,0.3892928509654706,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
6,0.9,0.5382391764518526,0.6898728895026416,0.9,0.21561316943823716,0.9,1.0,0.9,0.6209488879665492,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
7,0.9,0.9,0.9,0.9,0.021935634957075734,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
8,0.9,0.9,0.9,0.4213200594556793,0.001,0.3892928509654706,0.6209488879665492,0.9,1.0,0.9,0.0987780935804794,0.48260447112452065,0.029556605087038057,0.001,0.05193523533390887,0.00658746655987863,0.20483570021048303,0.3733448117626761,0.9,0.4213200594556793,0.5933790852363676
9,0.9,0.9,0.9,0.9,0.001,0.9,0.9,0.9,0.9,1.0,0.6209488879665497,0.9,0.35761709353226623,0.001,0.0015873078311412492,0.001,0.8001567658846895,0.9,0.9,0.9,0.9
10,0.731228945776383,0.06821478390568836,0.1321333668947976,0.9,0.8139375941709243,0.9,0.9,0.9,0.0987780935804794,0.6209488879665497,1.0,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.6071654307000913,0.9,0.9
11,0.9,0.3892928509654706,0.552023102823266,0.9,0.3422205384410336,0.9,0.9,0.9,0.48260447112452065,0.9,0.9,1.0,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,0.9
12,0.48260447112452065,0.018840693154266286,0.042318317041538545,0.9,0.9,0.9,0.9,0.9,0.029556605087038057,0.35761709353226623,0.9,0.9,1.0,0.001,0.001,0.001,0.9,0.9,0.34222053844104083,0.9,0.9
13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9,0.9,0.001,0.001,0.001,0.001,0.001
14,0.001,0.07771820517942629,0.03675529692283708,0.001,0.001,0.001,0.001,0.001,0.05193523533390887,0.0015873078311412492,0.001,0.001,0.001,0.9,1.0,0.9,0.001,0.001,0.0017390961715545439,0.001,0.001
15,0.001,0.010823350124739672,0.00428554634154843,0.001,0.001,0.001,0.001,0.001,0.00658746655987863,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.001,0.001,0.001,0.001,0.001
16,0.9,0.14861297630752757,0.26172479325665055,0.9,0.6347324996234921,0.9,0.9,0.9,0.20483570021048303,0.8001567658846895,0.9,0.9,0.9,0.001,0.001,0.001,1.0,0.9,0.7863692226898091,0.9,0.9
17,0.9,0.2873107556951974,0.4526935980539687,0.9,0.4526935980539686,0.9,0.9,0.9,0.3733448117626761,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,1.0,0.9,0.9,0.9
18,0.9,0.9,0.9,0.9,0.001,0.9,0.9,0.9,0.9,0.9,0.6071654307000913,0.9,0.34222053844104083,0.001,0.0017390961715545439,0.001,0.7863692226898091,0.9,1.0,0.9,0.9
19,0.9,0.3272616696554629,0.49685251628997296,0.9,0.40532715257835905,0.9,0.9,0.9,0.4213200594556793,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,1.0,0.9
20,0.9,0.5106663448599176,0.6623050824688401,0.9,0.2375279667804775,0.9,0.9,0.9,0.5933790852363676,0.9,0.9,0.9,0.9,0.001,0.001,0.001,0.9,0.9,0.9,0.9,1.0
