run_id,replication,seed,TT_OB_Agri,TT_IB_Agri,WT_IB_NA_Ross,TT_OB_LB,TT_IB_LB,TT_OB_DR,TT_IB_DR,Uti_Cus_D,Uti_Cus_R,WT_IB_NA_Dub,WT_OB_A_GB-Dub,WT_OB_A_GB-Ross,WT_OB_NA_GB-Dub,WT_OB_NA_GB-Ross
manual_130,1,1,13.656892982031252,16.311990441170916,0.1618144238972133,24.94061918574365,25.22499368583442,35.117770898575586,29.565450883059103,0.4314430476890501,0.0966319444444457,0.6601705283687523,0.2865937886916506,0.0439448877690316,0.2869657297585525,0.0334539647630815
manual_131,1,1,13.464877644949503,16.36824966750043,0.0345024693094798,24.785711646536058,25.19904654142144,35.192726821601426,29.43435786918301,0.3021109254776065,0.0465856481481493,0.4173031869572761,0.1106558780968127,0.0073292399038869,0.1162955422174452,0.0106995735651414
manual_132,1,1,13.469573025420988,16.278652293703807,0.2212153404245096,24.81418942192721,25.172424316317446,35.220713771360565,29.34897749396234,0.3519675925925857,0.1006944444444424,0.5516943139665453,0.1579737173095384,0.0601250662112186,0.1630676157408452,0.0579269923736155
manual_133,1,1,17.446584988528123,16.416966441326043,0.4899630309783155,25.047855840594707,25.29402770750044,35.09245028635388,29.663623278773013,0.9524693765032164,0.1850694444444472,5.3080627372713725,5.711360375467704,0.1755956615173828,5.73942468534677,0.1999822087450917
manual_134,1,1,80.36466864540772,16.348014704290183,0.6180247154839489,24.884191020676557,25.33492326230765,35.3179887733728,29.646458993421767,0.9834060565519068,0.2250000000000044,113.27181079936668,111.9133638188772,0.3085859156396778,111.4783753072764,0.3371356933280948
manual_135,1,1,13.437021109176351,16.466775059077996,0.2215603945592775,24.9353352890604,25.19353633965249,35.18533574746766,29.396605011271053,0.3293980010171353,0.1030092592592617,0.500872010340579,0.1137863094804245,0.0547814801374017,0.1117628910891486,0.0576473731955776
manual_136,1,1,13.637390439599011,16.24930809646771,0.1278522766629971,24.854299485684187,25.207650027072468,35.262806237924664,29.333624649039287,0.4124302641070138,0.0921296296296314,0.649935144809826,0.2652483752783751,0.0326998834630358,0.2576734420087079,0.0341976624483056
manual_137,1,1,13.31169270150606,16.343310643962585,0.16336546130132,24.826820339727355,25.239619968764003,34.715426868727214,29.41348686733502,0.2722251322819591,0.0772916666666636,0.326538966004209,0.0506264702198881,0.0207269463876825,0.0497916490383451,0.0211487228623448
manual_138,1,1,13.939168742974472,16.366976660843562,0.1851419079674301,24.93702158108303,25.13273139044611,35.056252420540794,29.46262148287928,0.4563274004566769,0.092638888888885,0.7740440216981528,0.376625154891629,0.0454952133337718,0.377349902252385,0.0407381171470643
manual_139,1,1,14.036736994630552,16.291093309508874,0.1500048425392924,24.923032444339736,25.15689495788016,34.46906988275326,29.362120337476437,0.474380918109468,0.0779398148148154,0.9025763858423508,0.4585561332872292,0.0348299940953111,0.4766099185241829,0.0333713869545895
manual_140,1,1,14.27486509775149,16.22660485331199,0.3196223145259954,24.824858549620583,25.210117026501145,35.05780490502592,29.442969590844744,0.5768805097269417,0.141620370370374,1.175370380364892,0.7797557019364485,0.10643018263584,0.7910623226377256,0.0981356005404718
manual_141,1,1,16.364902712625845,16.35376899641934,0.5793749764000681,24.959952603759604,25.265089958796977,34.98744075098968,29.54044169656729,0.904824931875858,0.2014351851851831,3.304819245254923,3.54127552056438,0.2973552605924772,3.550337417253406,0.2631582242592721
manual_142,1,1,52.15237769783583,16.29951434037884,0.547678707283532,24.95879041312956,25.32111919806505,36.064222206330754,29.313002574370785,0.9825389229693648,0.2054166666666585,73.80659410262015,73.63528576128934,0.2462090598759478,73.18922749895258,0.2630733550339855
manual_143,1,1,15.412577056595511,16.419382563982143,0.4866306946049328,24.840483636086752,25.246720099192306,35.125454694636346,29.488916288398634,0.748256511994375,0.1795138888888854,1.8696135221146508,1.7256819939975094,0.1664760873965927,1.7010263781052894,0.1904422330341915
manual_144,1,1,13.427975332594002,16.32930689947574,0.1131594625950724,24.90973664978908,25.27500033722353,34.70552261957707,29.222903912457987,0.3506249999999923,0.0716666666666653,0.5166501556301984,0.1659179542114525,0.0290327645525202,0.1659520555962805,0.0208937383839043
