feature,mean_abs_shap
VCap_Dub_Hey,11.751570332127452
VCap_Dub_Liv,11.666523923080037
VCap_Dub_Holy,11.181717360926168
A_Ex,2.835205872926754
NA_Ex,2.475892231219037
A_Im,2.09344902523896
NA_Im,1.961681417922324
ChkTime_Doc,0.15607227902187074
A_Im_LB,0.11420336622968866
ChkTime_Phy,0.10372066917071608
Pct_IB_PreBoard,0.09289769377935352
A_Ex_DR,0.09202224147611042
Pct_NA_IB_Green,0.08374096094206836
Pct_NA_OB_Green,0.0824416271579011
A_Im_DR,0.08199212928138754
VCap_Ross_Fish,0.07960097288238906
NA_Im_DR,0.0718983700079965
Shift_A_Im_LB_to_Cher,0.07138745707908487
Pct_NA_IB_Red,0.06939992806857492
NA_Im_LB,0.06802093077156827
Shift_NA_Im_LB_to_Cher,0.06748482712821394
Pct_NA_OB_Red,0.06663991205918117
NA_Ex_LB,0.06394001487412845
Pct_OB_PreBoard,0.06317962190316372
NumDAFM_D,0.06213732333069533
Pct_A_IB_Red,0.06078631622809923
Shift_NA_Ex_LB_to_Cher,0.0601931119767373
NA_Ex_DR,0.054144329231943074
Shift_A_Ex_LB_to_Cher,0.05080109909839346
VCap_Ross_Pem,0.04587924652299001
NumDAFM_R,0.04475622405256147
A_Ex_LB,0.04207478063938244
Pct_A_OB_Red,0.03962096593140692
NumCusShed_R,0.024424231694698848
NumCusShed_D,0.021426220614571268
