feature,mean_abs_shap
NumDAFM_D,0.022576101389615577
ChkTime_Doc,0.012982849804644795
NumDAFM_R,0.008918587115627222
A_Ex,0.007655578333442251
A_Im,0.007261886066851178
NA_Im,0.0067660987363691305
NA_Ex,0.0063790093974781265
Pct_IB_PreBoard,0.0011393526952462555
Pct_A_OB_Red,0.0010157371344917457
A_Ex_LB,0.0008454131570814496
Pct_OB_PreBoard,0.0005771664391867017
A_Im_LB,0.0005665762845090465
Pct_NA_OB_Green,0.0004951449591428029
Pct_NA_OB_Red,0.0004560281994770544
Pct_NA_IB_Red,0.0004401949872587035
VCap_Dub_Holy,0.0004121131612645764
VCap_Dub_Liv,0.00039455804608756577
VCap_Dub_Hey,0.00038339858980402503
ChkTime_Phy,0.00037844353942169417
NA_Im_DR,0.0003168825033678665
A_Ex_DR,0.00026365273254966314
Pct_A_IB_Red,0.0002549158215054562
Shift_A_Im_LB_to_Cher,0.00025219887082418937
NumCusShed_R,0.00019154076588420612
A_Im_DR,0.00018232669589893937
NA_Im_LB,0.00017635482367152813
Pct_NA_IB_Green,0.0001618047203131676
Shift_NA_Im_LB_to_Cher,0.00014319412044100076
VCap_Ross_Pem,0.00014203533583664866
NumCusShed_D,0.000135287611406147
Shift_A_Ex_LB_to_Cher,0.00013492984991797356
Shift_NA_Ex_LB_to_Cher,8.836118000399643e-05
NA_Ex_LB,8.718615268206301e-05
VCap_Ross_Fish,7.90647715427145e-05
NA_Ex_DR,4.9932020762287996e-05
