feature,mean_abs_shap
ChkTime_Doc,0.31412842981836936
NA_Ex_LB,0.029506172483351863
NA_Ex_DR,0.020245886518692073
Shift_NA_Ex_LB_to_Cher,0.019181193255483932
Pct_A_OB_Red,0.013134126423050178
Pct_NA_OB_Green,0.010976782053740983
Pct_IB_PreBoard,0.008827860985816172
Pct_NA_IB_Green,0.007829133867215794
Pct_A_IB_Red,0.004597998781620101
Pct_NA_IB_Red,0.0037060344732291043
ChkTime_Phy,0.0033557013630683527
NumCusShed_R,0.002755641983234113
NumCusShed_D,0.002687366586183042
NA_Im_LB,0.002178953638909283
VCap_Ross_Pem,0.0017136536927494885
NA_Im_DR,0.001709359424890383
VCap_Ross_Fish,0.0016698747424005115
Shift_NA_Im_LB_to_Cher,0.0016615027674740227
Pct_OB_PreBoard,0.001659738366088808
NA_Ex,0.0015371950301654668
A_Im_LB,0.001514893751926635
A_Ex,0.0014318086868412184
A_Ex_LB,0.0012916052731133686
A_Im_DR,0.0012294074211184822
NumDAFM_D,0.0011244308235851133
A_Im,0.0010240073300290928
Shift_A_Im_LB_to_Cher,0.0009481081833624505
A_Ex_DR,0.0009138469159824403
NA_Im,0.0008906665998464762
VCap_Dub_Liv,0.0008599644889489465
VCap_Dub_Hey,0.0007249789541111971
NumDAFM_R,0.0006869758476568112
Pct_NA_OB_Red,0.000663049733206799
VCap_Dub_Holy,0.0005899610813635571
Shift_A_Ex_LB_to_Cher,0.000327668796941217
