target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
TT_IB_DR,PolynomialReg_deg2,0.31624322883224365,0.07271097378149795,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_DR,MLP,3.4654080169562467,1.8207412486831982,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
TT_IB_LB,Lasso,21.564510072951542,5.5146801775395,10,3,30,"{""alpha"": 1}"
TT_IB_LB,ElasticNet,22.10936272390904,5.999556934853144,10,3,30,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
TT_IB_LB,Ridge,22.236061630269628,6.0986381126385965,10,3,30,"{""alpha"": 1}"
TT_IB_LB,BayesianRidge,22.27306945716307,5.975288176128783,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
TT_IB_LB,GPR_Matern,22.410983489603975,5.27752491886765,10,3,30,"{""alpha"": 0.001}"
TT_IB_LB,Baseline_OLS,22.559467657868517,6.429006955716959,10,3,30,{}
TT_IB_LB,CatBoost,25.20184675531448,6.185056463750229,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
TT_IB_LB,MLP,25.799893666208494,5.412269394942414,10,3,30,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
TT_IB_LB,XGBoost,26.02500777098607,7.046362883458926,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_IB_LB,GradientBoosting,26.14081033323343,7.233593981762304,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_IB_LB,ExtraTrees,26.264941013655566,6.991067911213142,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 100}"
TT_IB_LB,LightGBM,26.87170295091462,6.621847058850271,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
TT_IB_LB,SVR_RBF,27.66245447203416,6.146971108027462,10,3,30,"{""C"": 100, ""epsilon"": 0.01, ""gamma"": ""auto""}"
TT_IB_LB,AdaBoost,28.187135014740267,6.717632258149674,10,3,30,"{""learning_rate"": 1.0, ""n_estimators"": 100}"
TT_IB_LB,PolynomialReg_deg3,28.356971910798805,8.555552451758382,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_LB,RandomForest,29.852264569806874,7.873825570448446,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 50}"
TT_IB_LB,PolynomialReg_deg2,36.479247672682355,10.217724927874846,10,3,30,"{""ridge__alpha"": 10}"
TT_IB_LB,SVR_Poly,37.51018127113682,10.87869261749024,10,3,30,"{""C"": 10, ""degree"": 3, ""epsilon"": 0.1}"
TT_IB_LB,KNN,38.030307190025106,9.51363234460744,10,3,30,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}"
TT_IB_LB,GPR_RBF,45.44429832815615,10.13665816639,10,3,30,"{""alpha"": 1e-10}"
TT_IB_LB,Baseline_Mean,45.44432871536484,10.136668439598555,10,3,30,{}
TT_OB_Agri,ExtraTrees,6.775708764376733,3.338374800450964,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 50}"
TT_OB_Agri,CatBoost,9.80941560815744,4.637973685601218,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
TT_OB_Agri,XGBoost,10.123540630112883,6.974429509359526,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_OB_Agri,AdaBoost,10.617975248181358,6.154627056440448,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 200}"
TT_OB_Agri,GradientBoosting,11.22726304040637,6.078379477722903,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
TT_OB_Agri,RandomForest,12.961384186043098,5.9748982548211576,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 200}"
TT_OB_Agri,LightGBM,18.593816203242127,9.023124572796451,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 50, ""num_leaves"": 15}"
TT_OB_Agri,SVR_RBF,22.138889600944516,9.581866842886075,10,3,30,"{""C"": 100, ""epsilon"": 0.5, ""gamma"": ""scale""}"
TT_OB_Agri,GPR_Matern,22.42513512724897,8.461917136924342,10,3,30,"{""alpha"": 0.001}"
